name,voice_part,height
Bella Reed,Soprano,64
Emily Murphy,Soprano,66
Fatima Green,Soprano,63
Valentina Bryant,Soprano,60
Abigail Smith,Soprano,
Erica Brooks,Soprano,64
Elena Thomas,Soprano,66
Vanessa Jackson,Soprano,63
Ruth Bryant,Soprano,65
Savannah Scott,Soprano,65
Hazel Washington,Soprano,61
Savannah Clark,Soprano,64
Amelia Mitchell,Soprano,66
Lindsay Alexander,Soprano,63
Vanessa Russell,Soprano,
Rachel Lee,Soprano,63
Abby Anderson,Soprano,62
Nadia Brooks,Soprano,
Nadia Ross,Soprano,61
Destiny Garcia,Soprano,
Natalie Sanchez,Soprano,
Audrey Perez,Soprano,63
Brooklyn Phillips,Soprano,64
Jasmine Green,Soprano,62
Chloe Gonzales,Soprano,64
Maya Alexander,Alto,
Mei Flores,Alto,67
Heather Washington,Alto,
Bella Morgan,Alto,
Vanessa Campbell,Alto,65
Isabel Allen,Alto,66
Sophia Scott,Alto,62
Martha Nguyen,Alto,64
Natalie Bailey,Alto,65
Lucy Ward,Alto,
Madison Powell,Alto,
Hannah Green,Alto,
Rebekah Green,Alto,
Chloe Cox,Alto,
Erica Thompson,Alto,63
Deborah Cox,Alto,64
Ruth Mitchell,Alto,63
Whitney Reed,Alto,66
Peyton Howard,Alto,66
Zoe Sanchez,Alto,66
Katherine Wright,Alto,66
Aisha Hayes,Alto,67
Isabella Campbell,Alto,62
Aaliyah Ramirez,Alto,
Felicia Evans,Alto,64
Spencer Campbell,Tenor,
Carter Henderson,Tenor,72
Uriah Collins,Tenor,
Uriah Flores,Tenor,70
Lance Collins,Tenor,66
Lucas Butler,Tenor,72
Zachary Martin,Tenor,66
Diego Anderson,Tenor,
Ammon Williams,Tenor,
Scott Perry,Tenor,68
Cameron Thomas,Tenor,68
Hunter Jones,Tenor,
Nephi Wilson,Tenor,71
Michael Brooks,Tenor,70
Patrick Green,Tenor,72
Garrett Powell,Tenor,71
Ammon Martinez,Tenor,72
Lance White,Tenor,72
Heath Coleman,Tenor,72
Wyatt Perez,Tenor,68
Zachary Foster,Tenor,66
Lance Green,Tenor,68
Logan Griffin,Tenor,
Otto Stewart,Tenor,66
Christian Howard,Tenor,66
Wyatt Price,Bass,
Jack Evans,Bass,73
Yusuf Watson,Bass,
Zachary Torres,Bass,72
George Hall,Bass,76
Otto Russell,Bass,70
Gabriel Perry,Bass,68
Jake Phillips,Bass,75
Patrick Robinson,Bass,69
Tyler Rivera,Bass,74
Jacob Peterson,Bass,
Rafael Hernandez,Bass,
Lucas Parker,Bass,71
Joshua Gray,Bass,
Tyler Wood,Bass,75
Wade Scott,Bass,
Ryan Campbell,Bass,68
Sebastian Foster,Bass,74
Evan Turner,Bass,71
Jake Anderson,Bass,69
Helaman Bryant,Bass,
Nathan Brooks,Bass,72
Andrew Diaz,Bass,
Tyler Walker,Bass,72
Carlos Howard,Bass,
