name,voice_part,height
Lucas Smith,Tenor 1,69.0
Aiden Martinez,Tenor 1,63.0
Luke Kowalski,Tenor 1,70.0
Arjun Walker,Tenor 1,78.0
Eric Brown,Tenor 1,70.5
James Thompson,Tenor 1,73.0
Andrew Scott,Tenor 1,77.0
Henry Torres,Tenor 1,65.0
Isaac Smith,Tenor 1,77.5
Rafael Torres,Tenor 1,74.5
Liam Andersen,Tenor 1,62.0
Ryan Smith,Tenor 1,71.5
Vikram Harris,Tenor 1,69.0
Charles Martin,Tenor 1,65.5
Carlos Patel,Tenor 1,72.5
Andrew Torres,Tenor 1,68.0
Christian Williams,Tenor 1,77.0
Aiden Kowalski,Tenor 1,73.0
Charles Bianchi,Tenor 1,66.5
Dmitri Hassan,Tenor 1,68.5
Aiden Johansson,Tenor 1,66.0
Ethan Sanchez,Tenor 1,62.5
Jamal Garcia,Tenor 1,70.0
Samuel Gonzalez,Tenor 1,68.0
Joshua Santos,Tenor 1,72.0
Joshua Nakamura,Tenor 1,77.5
Matthew Martin,Tenor 1,71.0
Logan Hill,Tenor 1,75.0
Ibrahim Adeyemi,Tenor 1,61.5
Jacob Ivanov,Tenor 1,76.5
James Thomas,Tenor 1,62.5
Arjun Perez,Tenor 1,77.5
Thomas Santos,Tenor 1,64.5
Christian Rodriguez,Tenor 1,71.5
Jamal Fernandez,Tenor 1,75.5
Yusuf Andersen,Tenor 1,66.0
Matthew Osei,Tenor 1,71.5
Jack Hernandez,Tenor 1,66.0
Kofi Yamamoto,Tenor 1,64.5
Andrew Park,Tenor 1,71.5
Ravi Adeyemi,Tenor 1,62.5
Kofi Miller,Tenor 1,77.0
Malik Hernandez,Tenor 1,66.5
Christian Sanchez,Tenor 1,76.0
Dylan White,Tenor 1,72.0
Andrew Park,Tenor 1,77.5
Jack Singh,Tenor 1,65.0
Noah Petrov,Tenor 1,73.5
Nathan Young,Tenor 1,73.0
Desmond Lee,Tenor 1,73.0
Richard Johnson,Tenor 2,76.5
Gabriel Johnson,Tenor 2,66.0
Mateo Kowalski,Tenor 2,61.0
Hiroshi Tanaka,Tenor 2,74.5
Vikram Allen,Tenor 2,63.5
Tariq Lewis,Tenor 2,72.0
Ibrahim Jackson,Tenor 2,67.5
Nathan Allen,Tenor 2,76.0
Robert Gonzalez,Tenor 2,75.5
Soren Young,Tenor 2,75.5
Malik King,Tenor 2,65.5
Rafael Martinez,Tenor 2,70.0
Alexander Fernandez,Tenor 2,76.5
Jonathan Romero,Tenor 2,60.5
Samuel Garcia,Tenor 2,73.0
David Lopez,Tenor 2,63.0
Nikolai Johnson,Tenor 2,64.0
John Nakamura,Tenor 2,77.0
Dylan Kim,Tenor 2,65.5
Carlos Johnson,Tenor 2,64.5
Ryan Perez,Tenor 2,63.5
Owen Miller,Tenor 2,60.5
Tomas Kowalski,Tenor 2,73.0
Ethan Ali,Tenor 2,67.5
Oluwaseun Martinez,Tenor 2,62.0
Wei Kowalski,Tenor 2,67.0
Luca Robinson,Tenor 2,68.5
Jamal Young,Tenor 2,76.5
Anthony Nguyen,Tenor 2,76.5
Alexander Clark,Tenor 2,63.5
Ahmed Thomas,Tenor 2,76.0
Andre Dubois,Tenor 2,76.5
Wei Harris,Tenor 2,61.5
Eric Romero,Tenor 2,69.5
Henry Park,Tenor 2,66.0
Ravi Flores,Tenor 2,66.0
Dmitri Mensah,Tenor 2,64.5
Bastian Nakamura,Tenor 2,69.5
Benjamin Petrov,Tenor 2,70.0
Yusuf Johansson,Tenor 2,73.5
Bastian Hill,Tenor 2,67.5
Elijah Hill,Tenor 2,72.5
Pascal Ali,Tenor 2,60.5
Nikolai Anderson,Tenor 2,71.5
Jonathan Kowalski,Tenor 2,64.5
Gabriel Fernandez,Tenor 2,61.0
Malik Walker,Tenor 2,67.0
Isaac Santos,Tenor 2,77.5
Omar Clark,Tenor 2,61.5
Jack Lee,Tenor 2,70.0
Santiago Mensah,Baritone,69.5
Richard Abubakar,Baritone,60.5
Seamus Sanchez,Baritone,62.5
Ryan Santos,Baritone,74.0
William Petrov,Baritone,69.0
Seamus Hassan,Baritone,74.0
Elijah Adeyemi,Baritone,65.0
Joseph Tanaka,Baritone,75.5
Luke Mensah,Baritone,64.0
Soren Thompson,Baritone,72.5
Owen Singh,Baritone,73.5
Vikram Abubakar,Baritone,63.0
Ryan Reyes,Baritone,71.5
Aiden Jones,Baritone,73.0
Tomas Ramirez,Baritone,70.0
Hiroshi Achebe,Baritone,77.5
Liam Chen,Baritone,74.0
Tomas Scott,Baritone,60.5
Luca Smith,Baritone,75.0
Bastian Johansson,Baritone,62.5
Elijah Scott,Baritone,73.0
Anthony Young,Baritone,77.5
Henry Lee,Baritone,65.0
Tomas Lewis,Baritone,69.0
Desmond King,Baritone,64.5
Bastian Patel,Baritone,67.5
Elijah Petrov,Baritone,63.5
Luca Kim,Baritone,74.5
John Osei,Baritone,61.0
Oluwaseun Davis,Baritone,66.5
Aiden Lopez,Baritone,70.0
Soren Kumar,Baritone,68.5
Richard Yamamoto,Baritone,69.5
William Wakahisa,Baritone,62.0
Thomas Torres,Baritone,76.5
Sebastian Lewis,Baritone,74.5
Ravi Allen,Baritone,76.0
Nathan Garcia,Baritone,62.0
Bastian Perez,Baritone,70.0
Tariq Dubois,Baritone,65.5
Ethan Petrov,Baritone,73.5
Michael Kumar,Baritone,74.0
Arjun Fernandez,Baritone,67.0
Owen Singh,Baritone,70.5
Dylan Kowalski,Baritone,65.5
Malik Johnson,Baritone,63.0
Santiago Lee,Baritone,72.5
Daniel Chen,Baritone,76.5
Ibrahim Ramirez,Baritone,60.5
Nathan Fernandez,Baritone,66.0
Nathan Ali,Bass,74.5
Desmond Thomas,Bass,77.5
Sebastian Kowalski,Bass,60.5
Christian Abubakar,Bass,68.0
Logan Lee,Bass,65.0
Aiden Nakamura,Bass,70.0
Richard Green,Bass,63.5
Omar Martin,Bass,74.0
Mateo Nakamura,Bass,70.5
Charles Nakamura,Bass,76.0
Jack Achebe,Bass,61.0
Matthew Wakahisa,Bass,75.5
James Jackson,Bass,76.0
Anthony Flores,Bass,60.5
Jamal Petrov,Bass,70.0
Logan Nakamura,Bass,63.0
Seamus Garcia,Bass,62.0
Samuel Nakamura,Bass,76.0
Lucas Chen,Bass,77.5
Dylan Davis,Bass,77.0
Hiroshi Thompson,Bass,77.5
James Allen,Bass,68.0
Santiago Walker,Bass,74.5
Emeka Diallo,Bass,67.5
Jacob Scott,Bass,60.5
Bastian Andersen,Bass,68.0
Joseph Tanaka,Bass,70.0
Joshua Davis,Bass,70.0
Carlos Okafor,Bass,64.5
Dmitri Gonzalez,Bass,69.0
Carlos Moore,Bass,64.5
Joseph White,Bass,71.5
Noah Chen,Bass,65.0
Carlos Robinson,Bass,66.0
Liam Miller,Bass,65.0
Andrew Flores,Bass,60.5
Thomas Wright,Bass,75.5
Ahmed Sanchez,Bass,66.0
Vikram Park,Bass,72.0
Mason Hill,Bass,75.5
Joshua Yamamoto,Bass,62.0
Omar Wakahisa,Bass,64.0
Gabriel Flores,Bass,77.5
David Miller,Bass,77.0
Richard Smith,Bass,66.0
Ahmed Achebe,Bass,74.5
Ibrahim Tanaka,Bass,65.5
Emeka Martin,Bass,76.0
Diego Rodriguez,Bass,70.0
Ezra Achebe,Bass,74.0
