name,voice_part,height
Mary Hernandez,Soprano,
Nadia Jackson,Soprano,
Paige Stewart,Soprano,
Kelsey Clark,Soprano,
Zara Wright,Soprano,61
Layla Brown,Soprano,64
Elena Moore,Soprano,
Abby Coleman,Soprano,60
Leah Moore,Soprano,64
Layla White,Soprano,
Claire Bell,Soprano,60
Rosa Henderson,Soprano,62
Scarlett Williams,Alto,
Whitney Cooper,Alto,
Hazel Wood,Alto,
Lydia Moore,Alto,
Naomi Stewart,Alto,
Maria Watson,Alto,63
Olivia Baker,Alto,
Charlotte Brooks,Alto,
Yuki Johnson,Alto,64
Layla Parker,Alto,
Jennifer Johnson,Alto,
Liam Howard,Tenor,
Reid Gonzales,Tenor,68
Parker Jones,Tenor,66
Benjamin Ross,Tenor,68
Adam Butler,Tenor,71
William Flores,Tenor,68
Spencer Martin,Tenor,
Matthew King,Tenor,67
Aiden Harris,Tenor,69
Yusuf Wood,Tenor,71
Nathan Reed,Tenor,70
Oliver Scott,Bass,68
Luke Perez,Bass,
Luke Murphy,Bass,68
Zachary Taylor,Bass,
Jose Wright,Bass,75
James Jones,Bass,76
Lincoln Foster,Bass,70
Hunter Richardson,Bass,69
Adam Thompson,Bass,
Grayson Gonzales,Bass,75
Aiden Flores,Bass,
