name,voice_part,height
Savannah Mueller,Soprano,71.5
Natalie Moore,Soprano,61.5
Evelyn Robinson,Soprano,61.0
Barbara Achebe,Soprano,72.5
Sofia Lopez,Soprano,63.5
Madison Rodriguez,Soprano,60.0
Adaeze Miller,Soprano,64.5
Emily Tanaka,Soprano,62.5
Ella Okafor,Soprano,75.5
Amelia Robinson,Soprano,73.5
Lily Kumar,Soprano,75.0
Grace Achebe,Soprano,70.5
Esperanza Ali,Soprano,62.0
Sasha Johansson,Soprano,69.0
Scarlett King,Soprano,60.5
Susan Perez,Soprano,72.5
Sophia Anderson,Soprano,69.0
Nour Smith,Soprano,76.5
Miriam Garcia,Soprano,60.5
Audrey Flores,Soprano,77.0
Abigail Singh,Soprano,60.5
Bella Thompson,Soprano,68.0
Claire Tanaka,Soprano,73.0
Ava White,Soprano,74.0
Layla Thomas,Soprano,71.5
Ava Clark,Soprano,66.5
Emily Lee,Soprano,64.0
Aisha Scott,Soprano,76.5
Jennifer Jones,Soprano,70.5
Amelia Wright,Soprano,66.0
Hana Williams,Soprano,67.5
Chiara Anderson,Soprano,60.5
Chiara Johnson,Soprano,71.5
Ava Park,Soprano,77.5
Nadia Andersen,Soprano,71.0
Sophia Walker,Soprano,76.0
Isabella Tanaka,Soprano,76.5
Fatima Walker,Soprano,69.0
Ella Ali,Soprano,70.0
Svetlana Okafor,Soprano,77.0
Lily Okafor,Alto,62.5
Celestine King,Alto,62.0
Natalie Romero,Alto,66.5
Valentina Gonzalez,Alto,70.5
Bella Johansson,Alto,72.5
Victoria Kowalski,Alto,61.5
Xiomara Moore,Alto,75.5
Yolanda Jones,Alto,67.0
Bella Wright,Alto,70.0
Linda Allen,Alto,66.0
Lily Scott,Alto,62.5
Sarah Bianchi,Alto,73.0
Celestine Wright,Alto,66.5
Ella Clark,Alto,67.5
Claire Dubois,Alto,68.0
Emma Santos,Alto,71.5
Valentina Nakamura,Alto,63.0
Priya Mensah,Alto,61.0
Natalie Lopez,Alto,77.5
Sophia Tanaka,Alto,61.5
Hana White,Alto,66.5
Aaliyah Ramirez,Alto,77.0
Camila Reyes,Alto,76.0
Aisha Petrov,Alto,63.5
Zara Nguyen,Alto,78.0
Bianca Sanchez,Alto,60.0
Taraji Martin,Alto,64.0
Ingrid Kim,Alto,72.0
Amara Achebe,Alto,72.5
Layla Bianchi,Alto,61.5
Linda Mueller,Alto,61.0
Ingrid Brown,Alto,75.5
Sophia Thomas,Alto,67.5
Bianca Brown,Alto,70.0
Taraji Park,Alto,75.0
Kwame Andersen,Tenor,69.5
Ahmed Okafor,Tenor,69.5
Carlos Green,Tenor,69.0
Aiden Chen,Tenor,62.5
Elijah Hill,Tenor,61.0
Ryan Tanaka,Tenor,74.5
Luke Tanaka,Tenor,70.0
Tomas Park,Tenor,71.5
Malik Williams,Tenor,76.0
Diego Andersen,Tenor,75.5
Rafael Harris,Tenor,62.5
Ahmed Kim,Tenor,67.0
Oluwaseun Tanaka,Tenor,75.0
Lucas Achebe,Tenor,75.0
Robert Osei,Tenor,68.0
Liam Jones,Tenor,64.5
Takeshi Khan,Tenor,69.5
Robert Martin,Tenor,60.0
Mateo Wright,Tenor,64.5
Daniel Kowalski,Tenor,65.0
Elijah Martin,Tenor,60.5
Richard Green,Tenor,66.0
James Ramirez,Tenor,66.0
Nikolai Brown,Tenor,63.5
Kwame Wilson,Tenor,68.5
Logan Andersen,Tenor,76.0
Dmitri Rosario,Tenor,60.5
Joseph Davis,Tenor,76.5
Ezra Jones,Tenor,64.5
John Nguyen,Tenor,67.5
Liam Osei,Tenor,70.5
Carlos Santos,Tenor,66.5
Sebastian Singh,Tenor,60.5
Ahmed Wright,Tenor,62.0
Jacob Dubois,Tenor,61.5
Owen Garcia,Bass,74.0
Santiago Kowalski,Bass,64.5
Bastian Ivanov,Bass,70.0
Thomas Gonzalez,Bass,78.0
Luke Smith,Bass,64.5
Andrew Allen,Bass,61.0
Noah Ali,Bass,69.0
Jonathan Garcia,Bass,70.0
Santiago Thompson,Bass,76.5
Rafael Young,Bass,68.5
Hiroshi Ivanov,Bass,65.0
Desmond Martinez,Bass,71.0
Omar Rosario,Bass,67.5
Connor Achebe,Bass,65.5
Luca Martin,Bass,64.5
Oliver Ali,Bass,74.0
Andrew Abubakar,Bass,63.5
Hiroshi Adeyemi,Bass,71.5
Oliver Taylor,Bass,61.0
Diego Robinson,Bass,64.5
Lucas Wright,Bass,69.0
Ezra Santos,Bass,76.5
Jack Torres,Bass,75.0
Dylan Smith,Bass,63.5
Lucas Johnson,Bass,75.0
Seamus Wright,Bass,64.0
Tariq Green,Bass,71.5
Santiago Martin,Bass,73.5
Charles Smith,Bass,76.5
Thomas Brown,Bass,68.5
Kwame Mueller,Bass,66.0
Ibrahim Reyes,Bass,60.5
Connor Yamamoto,Bass,67.5
Bastian Ramirez,Bass,69.5
Yusuf Moore,Bass,72.0
Logan Romero,Bass,65.5
Robert Garcia,Bass,61.5
Robert Tanaka,Bass,69.5
Noah Jackson,Bass,70.0
Samuel Lewis,Bass,72.5
