name,voice_part,height
Isabel Harris,Soprano 1,62
Alyssa Morgan,Soprano 1,
Evelyn Martin,Soprano 1,63
Paige Moore,Soprano 1,65
Charlotte Robinson,Soprano 1,61
Elena Walker,Soprano 1,60
Harper King,Soprano 1,
Jasmine White,Soprano 1,
Scarlett Ruiz,Soprano 1,63
Rebekah Garcia,Soprano 1,
Ella Sanchez,Soprano 1,60
Madison Baker,Soprano 1,63
Priya Cox,Soprano 1,
Natalie Hill,Soprano 1,
Jennifer Ruiz,Soprano 1,65
Aisha Moore,Soprano 1,
Valentina Martin,Soprano 1,63
Isabella Smith,Soprano 1,
Aurora Bennett,Soprano 1,
Camila Flores,Soprano 1,65
Erica Peterson,Soprano 1,
Violet Butler,Soprano 1,63
Sarah Gray,Soprano 1,
Lindsay Ross,Soprano 1,61
Jasmine Bryant,Soprano 1,60
Alyssa Hernandez,Soprano 1,60
Isabella Torres,Soprano 1,
Samantha Russell,Soprano 1,64
Amara Nguyen,Soprano 1,63
Caroline Flores,Soprano 1,
Katherine Kelly,Soprano 1,61
Nadia Alexander,Soprano 1,64
Melissa Robinson,Soprano 1,
Martha Walker,Soprano 1,63
Sofia Griffin,Soprano 1,62
Whitney Richardson,Soprano 1,60
Valentina Butler,Soprano 1,
Danielle White,Soprano 1,62
Chloe Evans,Soprano 1,65
Violet Long,Soprano 1,63
Naomi Rivera,Soprano 1,61
Mary Long,Soprano 1,
Audrey Davis,Soprano 1,65
Evelyn Baker,Soprano 1,65
Evelyn Adams,Soprano 1,
Aaliyah Smith,Soprano 1,61
Amelia Hall,Soprano 1,62
Charlotte Kelly,Soprano 1,
Audrey Reed,Soprano 1,65
Samantha Jones,Soprano 1,60
Elena Griffin,Soprano 2,63
Ruth Thomas,Soprano 2,62
Skylar Davis,Soprano 2,
Amara Scott,Soprano 2,62
Savannah Reed,Soprano 2,
Audrey Morris,Soprano 2,66
Claire Ross,Soprano 2,61
Whitney Scott,Soprano 2,
Zoe Johnson,Soprano 2,62
Emma Griffin,Soprano 2,
Aurora Bailey,Soprano 2,62
Abigail Smith,Soprano 2,62
Nicole Lewis,Soprano 2,65
Samantha Carter,Soprano 2,61
Megan Harris,Soprano 2,63
Esther Stewart,Soprano 2,64
Caroline Rivera,Soprano 2,
Scarlett Miller,Soprano 2,
Savannah Scott,Soprano 2,61
Olivia Alexander,Soprano 2,61
Maria Campbell,Soprano 2,61
Destiny Thompson,Soprano 2,
Emily Smith,Soprano 2,66
Destiny Jackson,Soprano 2,
Lucy Parker,Soprano 2,65
Miriam Jackson,Soprano 2,63
Cassandra Barnes,Soprano 2,
Aaliyah Russell,Soprano 2,61
Hannah Roberts,Soprano 2,64
Mary Ross,Soprano 2,
Priya Richardson,Soprano 2,65
Sofia Harris,Soprano 2,62
Leah Hernandez,Soprano 2,
Aurora Williams,Soprano 2,
Paige Walker,Soprano 2,63
Leah Gonzales,Soprano 2,62
Melissa Baker,Soprano 2,
Rachel Martinez,Soprano 2,62
Aaliyah Green,Soprano 2,62
Isabella Smith,Soprano 2,62
Jennifer Sanders,Soprano 2,66
Sarah Rogers,Soprano 2,
Aisha Ruiz,Soprano 2,66
Priya Jackson,Soprano 2,
Hazel Roberts,Soprano 2,65
Savannah Perry,Soprano 2,
Rachel Long,Soprano 2,
Jennifer Hayes,Soprano 2,65
Ruth Jones,Soprano 2,61
Erica Wilson,Soprano 2,64
Naomi Miller,Alto 1,65
Paige Butler,Alto 1,62
Chloe Sanchez,Alto 1,
Nadia Anderson,Alto 1,
Aria Robinson,Alto 1,67
Erica Lewis,Alto 1,64
Ava Bailey,Alto 1,63
Ashley Howard,Alto 1,66
Valentina Davis,Alto 1,65
Jessica Henderson,Alto 1,65
Abigail Wright,Alto 1,
Amanda Alexander,Alto 1,67
